invoice_id,date,customer_id,customer_contact_info,billing_address,salesperson,item_description,part_number,variant_group,quantity,unit_price,total_amount
INV053,2024-01-30,CUST023,customer9@email.com,902 Main,SP03,Hinge,HI103,HI,3,30,90
INV053,2024-01-30,CUST023,customer2@email.com,123 Main,SP03,Door,DO103,DO,1,250,250
INV054,2024-01-17,CUST021,customer17@email.com,667 Main,SP05,Drain,DR103,DR,3,40,120
INV054,2024-01-17,CUST021,customer22@email.com,441 Main,SP05,Sink,SI103,SI,2,120,240
INV055,2024-02-21,CUST014,customer3@email.com,667 Main,SP05,Knob,KN102,KN,3,35,105
INV055,2024-02-21,CUST014,customer1@email.com,901 Main,SP05,Lock,LO102,LO,5,60,300
INV056,2024-02-04,CUST005,customer5@email.com,557 Main,SP01,Faucet,FA101,FA,3,85,255
INV056,2024-02-04,CUST005,customer9@email.com,901 Main,SP01,Cabinet,CA101,CA,3,150,450
INV056,2024-02-04,CUST005,customer12@email.com,123 Main,SP01,Sink,SI101,SI,2,120,240
INV057,2024-02-25,CUST016,customer6@email.com,441 Main,SP04,Window,WI102,WI,1,180,180
INV057,2024-02-25,CUST016,customer3@email.com,557 Main,SP04,Handle,HA102,HA,5,45,225
INV057,2024-02-25,CUST016,customer21@email.com,667 Main,SP04,Screen,SC102,SC,2,75,150
INV058,2024-03-06,CUST019,customer13@email.com,902 Main,SP02,Faucet,FA101,FA,2,85,170
INV058,2024-03-06,CUST019,customer19@email.com,902 Main,SP02,Sink,SI101,SI,4,120,480
INV059,2024-02-06,CUST004,customer11@email.com,441 Main,SP04,Window,WI101,WI,3,180,540
INV059,2024-02-06,CUST004,customer1@email.com,667 Main,SP04,Screen,SC101,SC,1,75,75
INV059,2024-02-06,CUST004,customer9@email.com,557 Main,SP04,Frame,FR101,FR,3,100,300
INV060,2024-01-20,CUST010,customer7@email.com,441 Main,SP04,Sink,SI103,SI,5,120,600
INV060,2024-01-20,CUST010,customer14@email.com,557 Main,SP04,Faucet,FA103,FA,1,85,85
INV060,2024-01-20,CUST010,customer3@email.com,901 Main,SP04,Cabinet,CA103,CA,1,150,150
INV061,2024-03-28,CUST012,customer18@email.com,901 Main,SP02,Sink,SI103,SI,2,120,240
INV061,2024-03-28,CUST012,customer22@email.com,902 Main,SP02,Faucet,FA103,FA,2,85,170
