invoice_id,date,customer_id,customer_contact_info,billing_address,salesperson,item_description,part_number,variant_group,quantity,unit_price,total_amount
INV0001,2025-04-08,CUST001,kimbowen@example.com,"Unit 5315 Box 8497
DPO AA 47521",Michelle Williams,Faucet,FA101,Faucet Deck Mount,1,135.76,135.76
INV0002,2025-04-25,CUST002,samantha33@example.net,"Unit 4309 Box 4872
DPO AE 27018",Sara Griffin,Mirror,MR105,Mirror Frameless,1,264.81,264.81
INV0003,2025-04-18,CUST003,ywarner@example.com,"177 Meyer Fords
Lopeztown, NY 99855",Dave West,Shower,SH108,Shower Handheld,3,109.4,328.2
INV0003,2025-04-18,CUST003,ywarner@example.com,"177 Meyer Fords
Lopeztown, NY 99855",Dave West,Shower,SH104,Shower Handheld,1,436.13,436.13
INV0004,2025-08-21,CUST004,singhryan@example.net,"86285 Vargas Prairie Suite 516
Christopherville, KY 97266",Mr. Greg Lucas,Door,DR102,Door Standard,3,386.44,1159.32
INV0004,2025-08-21,CUST004,singhryan@example.net,"86285 Vargas Prairie Suite 516
Christopherville, KY 97266",Mr. Greg Lucas,Mirror,MR114,Mirror Framed,4,340.13,1360.52
INV0004,2025-08-21,CUST004,singhryan@example.net,"86285 Vargas Prairie Suite 516
Christopherville, KY 97266",Mr. Greg Lucas,Sink,SI113,Sink Topmount,4,88.69,354.76
INV0004,2025-08-21,CUST004,singhryan@example.net,"86285 Vargas Prairie Suite 516
Christopherville, KY 97266",Mr. Greg Lucas,Sink,SI108,Sink Topmount,5,365.14,1825.7
INV0005,2025-09-10,CUST005,gonzalezchristopher@example.com,"3446 Thomas Drive
South Francesbury, GA 22887",Sabrina Palmer,Knob,KN118,Knob Square,1,246.74,246.74
INV0006,2025-07-31,CUST006,xgonzalez@example.net,"4671 Sutton Trail
Port Lisahaven, UT 14173",Courtney Herrera,Knob,KN118,Knob Square,4,101.39,405.56
INV0006,2025-07-31,CUST006,xgonzalez@example.net,"4671 Sutton Trail
Port Lisahaven, UT 14173",Courtney Herrera,Door,DR103,Door French,5,451.28,2256.4
INV0007,2025-05-19,CUST007,christinearmstrong@example.net,"971 Matthew Inlet Suite 763
Alicialand, VI 37452",Christian Fisher,Shower,SH120,Shower Rain,5,272.82,1364.1
INV0008,2025-04-19,CUST008,ryanmendez@example.com,"4493 Michael Plains
Paulchester, ND 00712",Thomas Wilson,Mirror,MR102,Mirror Frameless,4,247.97,991.88
INV0008,2025-04-19,CUST008,ryanmendez@example.com,"4493 Michael Plains
Paulchester, ND 00712",Thomas Wilson,Mirror,MR118,Mirror Frameless,2,88.07,176.14
INV0009,2025-05-27,CUST009,ginaadams@example.org,"45866 Allen Knoll Apt. 481
New Deniseside, CO 47816",Randy Williams,Door,DR109,Door Sliding,1,112.64,112.64
INV0009,2025-05-27,CUST009,ginaadams@example.org,"45866 Allen Knoll Apt. 481
New Deniseside, CO 47816",Randy Williams,Door,DR112,Door French,4,224.5,898.0
INV0010,2025-07-02,CUST010,everettcarolyn@example.org,"641 Hill Square Apt. 172
Debraland, FL 83674",Katherine Mitchell,Knob,KN120,Knob Square,4,230.66,922.64
INV0011,2025-06-15,CUST011,dianasullivan@example.net,"8125 Dean Shore
North Ashley, MT 29925",Melanie Mitchell,Sink,SI101,Sink Undermount,2,16.04,32.08
